NIRF,COLLEGE,YEAR,BRANCH,CATEGORY,OPENING_RANK,CLOSING_RANK
48,SSN College of Engineering ,2023,Computer science,GENERAL,8,913
48,SSN College of Engineering ,2023,Computer science,OBC,424,778
48,SSN College of Engineering ,2023,Computer science,SC,3521,11570
48,SSN College of Engineering ,2023,Computer science,ST,56297,56297
48,SSN College of Engineering ,2023,Information technology,GENERAL,86,1275
48,SSN College of Engineering ,2023,Information technology,OBC,1059,1519
48,SSN College of Engineering ,2023,Information technology,SC,7641,16508
48,SSN College of Engineering ,2023,Information technology,ST,45213,45213
48,SSN College of Engineering ,2023,Electronics and Communication ,GENERAL,66,1221
48,SSN College of Engineering ,2023,Electronics and Communication ,OBC,1262,1725
48,SSN College of Engineering ,2023,Electronics and Communication ,SC,5586,16432
48,SSN College of Engineering ,2023,Electronics and Communication ,ST,71088,71088
48,SSN College of Engineering ,2023,Electrical and Electronics,GENERAL,1570,5858
48,SSN College of Engineering ,2023,Electrical and Electronics,OBC,2199,2704
48,SSN College of Engineering ,2023,Electrical and Electronics,SC,12339,21176
48,SSN College of Engineering ,2023,Electrical and Electronics,ST,92922,92922
48,SSN College of Engineering ,2023,Mechanical Engineering,GENERAL,3468,13023
48,SSN College of Engineering ,2023,Mechanical Engineering,OBC,5213,7062
48,SSN College of Engineering ,2023,Mechanical Engineering,SC,16377,33177
48,SSN College of Engineering ,2023,Mechanical Engineering,ST,89211,89211
48,SSN College of Engineering ,2023,Biomedical Engineering,GENERAL,3166,10361
48,SSN College of Engineering ,2023,Biomedical Engineering,OBC,7080,8425
48,SSN College of Engineering ,2023,Biomedical Engineering,SC,19555,37388
48,SSN College of Engineering ,2023,Biomedical Engineering,ST,,
48,SSN College of Engineering ,2023,Chemical Engineering,GENERAL,2066,10747
48,SSN College of Engineering ,2023,Chemical Engineering,OBC,8664,12153
48,SSN College of Engineering ,2023,Chemical Engineering,SC,29293,33969
48,SSN College of Engineering ,2023,Chemical Engineering,ST,,
48,SSN College of Engineering ,2023,Civil Engineering,GENERAL,2751,10747
48,SSN College of Engineering ,2023,Civil Engineering,OBC,9934,13599
48,SSN College of Engineering ,2023,Civil Engineering,SC,27781,33852
48,SSN College of Engineering ,2023,Civil Engineering,ST,,
17,"College of Engineering,Gunidy",2023,Computer science ,GENERAL,7,44
17,"College of Engineering,Gunidy",2023,Computer science ,OBC,46,83
17,"College of Engineering,Gunidy",2023,Computer science ,SC,57,1018
17,"College of Engineering,Gunidy",2023,Computer science ,ST,5995,5995
17,"College of Engineering,Gunidy",2023,Information technology,GENERAL,24,525
17,"College of Engineering,Gunidy",2023,Information technology,OBC,537,859
17,"College of Engineering,Gunidy",2023,Information technology,SC,1827,3833
17,"College of Engineering,Gunidy",2023,Information technology,ST,4254,4254
17,"College of Engineering,Gunidy",2023,Electronics and Communication ,GENERAL,1,107
17,"College of Engineering,Gunidy",2023,Electronics and Communication ,OBC,114,319
17,"College of Engineering,Gunidy",2023,Electronics and Communication ,SC,500,1266
17,"College of Engineering,Gunidy",2023,Electronics and Communication ,ST,23107,23107
17,"College of Engineering,Gunidy",2023,Electrical and Electronics,GENERAL,32,1071
17,"College of Engineering,Gunidy",2023,Electrical and Electronics,OBC,1081,1616
17,"College of Engineering,Gunidy",2023,Electrical and Electronics,SC,1304,5223
17,"College of Engineering,Gunidy",2023,Electrical and Electronics,ST,8249,8249
17,"College of Engineering,Gunidy",2023,Mechanical Engineering,GENERAL,1071,2993
17,"College of Engineering,Gunidy",2023,Mechanical Engineering,OBC,3077,4962
17,"College of Engineering,Gunidy",2023,Mechanical Engineering,SC,3872,12487
17,"College of Engineering,Gunidy",2023,Mechanical Engineering,ST,16460,16460
17,"College of Engineering,Gunidy",2023,Biomedical Engineering,GENERAL,494,2729
17,"College of Engineering,Gunidy",2023,Biomedical Engineering,OBC,2986,5854
17,"College of Engineering,Gunidy",2023,Biomedical Engineering,SC,7499,19808
17,"College of Engineering,Gunidy",2023,Biomedical Engineering,ST,,
17,"College of Engineering,Gunidy",2023,Civil Engineering,GENERAL,986,2715
17,"College of Engineering,Gunidy",2023,Civil Engineering,OBC,2899,5419
17,"College of Engineering,Gunidy",2023,Civil Engineering,SC,5387,14532
17,"College of Engineering,Gunidy",2023,Civil Engineering,ST,,
17,"College of Engineering,Gunidy",2023,Industrial Engineering,GENERAL,1033,7668
17,"College of Engineering,Gunidy",2023,Industrial Engineering,OBC,7816,14193
17,"College of Engineering,Gunidy",2023,Industrial Engineering,SC,10244,21747
17,"College of Engineering,Gunidy",2023,Industrial Engineering,ST,,
17,"College of Engineering,Gunidy",2023,Geoinformatics,GENERAL,339,6789
17,"College of Engineering,Gunidy",2023,Geoinformatics,OBC,6905,11621
17,"College of Engineering,Gunidy",2023,Geoinformatics,SC,12893,26353
17,"College of Engineering,Gunidy",2023,Geoinformatics,ST,,
17,"College of Engineering,Gunidy",2023,Mining Engineering,GENERAL,1618,6088
17,"College of Engineering,Gunidy",2023,Mining Engineering,OBC,7055,13457
17,"College of Engineering,Gunidy",2023,Mining Engineering,SC,15228,22211
17,"College of Engineering,Gunidy",2023,Mining Engineering,ST,,
17,"College of Engineering,Gunidy",2023,Manufacturing Engineering,GENERAL,1699,10259
17,"College of Engineering,Gunidy",2023,Manufacturing Engineering,OBC,10788,17813
17,"College of Engineering,Gunidy",2023,Manufacturing Engineering,SC,23405,24755
17,"College of Engineering,Gunidy",2023,Manufacturing Engineering,ST,,
17,"College of Engineering,Gunidy",2023,Material Science and Engineering,GENERAL,6027,9017
17,"College of Engineering,Gunidy",2023,Material Science and Engineering,OBC,11373,14510
17,"College of Engineering,Gunidy",2023,Material Science and Engineering,SC,21291,24105
17,"College of Engineering,Gunidy",2023,Material Science and Engineering,ST,,
17,"College of Engineering,Gunidy",2023,Printing Technology,GENERAL,3735,16859
17,"College of Engineering,Gunidy",2023,Printing Technology,OBC,17303,26067
17,"College of Engineering,Gunidy",2023,Printing Technology,SC,,
17,"College of Engineering,Gunidy",2023,Printing Technology,ST,,
151,Sri Venkateshwara College Of Engineering,2023,Computer science,GENERAL,1329,3866
151,Sri Venkateshwara College Of Engineering,2023,Computer science,OBC,3933,6838
151,Sri Venkateshwara College Of Engineering,2023,Computer science,SC,24689,31848
151,Sri Venkateshwara College Of Engineering,2023,Computer science,ST,84963,84963
151,Sri Venkateshwara College Of Engineering,2023,Information technology,GENERAL,3230,6872
151,Sri Venkateshwara College Of Engineering,2023,Information technology,OBC,7122,9149
151,Sri Venkateshwara College Of Engineering,2023,Information technology,SC,32174,56885
151,Sri Venkateshwara College Of Engineering,2023,Information technology,ST,,
151,Sri Venkateshwara College Of Engineering,2023,Electronics and Communication,GENERAL,2619,8658
151,Sri Venkateshwara College Of Engineering,2023,Electronics and Communication,OBC,8786,12916
151,Sri Venkateshwara College Of Engineering,2023,Electronics and Communication,SC,32915,51611
151,Sri Venkateshwara College Of Engineering,2023,Electronics and Communication,ST,,
151,Sri Venkateshwara College Of Engineering,2023,Electrical and Electronics,GENERAL,8733,17315
151,Sri Venkateshwara College Of Engineering,2023,Electrical and Electronics,OBC,17700,21961
151,Sri Venkateshwara College Of Engineering,2023,Electrical and Electronics,SC,59350,81447
151,Sri Venkateshwara College Of Engineering,2023,Electrical and Electronics,ST,,
151,Sri Venkateshwara College Of Engineering,2023,Mechanical Engineering,GENERAL,21898,22126
151,Sri Venkateshwara College Of Engineering,2023,Mechanical Engineering,OBC,,
151,Sri Venkateshwara College Of Engineering,2023,Mechanical Engineering,SC,60720,79087
151,Sri Venkateshwara College Of Engineering,2023,Mechanical Engineering,ST,,
151,Sri Venkateshwara College Of Engineering,2023,Biomedical Engineering,GENERAL,7773,19576
151,Sri Venkateshwara College Of Engineering,2023,Biomedical Engineering,OBC,28151,41034
151,Sri Venkateshwara College Of Engineering,2023,Biomedical Engineering,SC,55013,70283
151,Sri Venkateshwara College Of Engineering,2023,Biomedical Engineering,ST,28830,45496
151,Sri Venkateshwara College Of Engineering,2023,Chemical Engineering,GENERAL,15434,18492
151,Sri Venkateshwara College Of Engineering,2023,Chemical Engineering,OBC,39776,56477
151,Sri Venkateshwara College Of Engineering,2023,Chemical Engineering,SC,63687,77279
151,Sri Venkateshwara College Of Engineering,2023,Chemical Engineering,ST,77582,77582
151,Sri Venkateshwara College Of Engineering,2023,Civil Engineering,GENERAL,33835,36373
151,Sri Venkateshwara College Of Engineering,2023,Civil Engineering,OBC,38602,56375
151,Sri Venkateshwara College Of Engineering,2023,Civil Engineering,SC,81759,81759
151,Sri Venkateshwara College Of Engineering,2023,Civil Engineering,ST,85549,85549
86,Rajalakshmi Engineering College,2023,Computer science,GENERAL,853,6193
86,Rajalakshmi Engineering College,2023,Computer science,OBC,6220,11273
86,Rajalakshmi Engineering College,2023,Computer science,SC,6383,26016
86,Rajalakshmi Engineering College,2023,Computer science,ST,45270,65815
86,Rajalakshmi Engineering College,2023,Information technology,GENERAL,2092,10842
86,Rajalakshmi Engineering College,2023,Information technology,OBC,11473,14541
86,Rajalakshmi Engineering College,2023,Information technology,SC,14507,14507
86,Rajalakshmi Engineering College,2023,Information technology,ST,62030,62030
86,Rajalakshmi Engineering College,2023,"Electronics and Communication ",GENERAL,1786,10768
86,Rajalakshmi Engineering College,2023,"Electronics and Communication ",OBC,10801,14067
86,Rajalakshmi Engineering College,2023,"Electronics and Communication ",SC,11674,17105
86,Rajalakshmi Engineering College,2023,"Electronics and Communication ",ST,96726,96726
86,Rajalakshmi Engineering College,2023,Electrical and Electronics,GENERAL,12860,19738
86,Rajalakshmi Engineering College,2023,Electrical and Electronics,OBC,19840,22778
86,Rajalakshmi Engineering College,2023,Electrical and Electronics,SC,27039,30587
86,Rajalakshmi Engineering College,2023,Electrical and Electronics,ST,125141,125141
86,Rajalakshmi Engineering College,2023,Mechanical Engineering,GENERAL,11618,26087
86,Rajalakshmi Engineering College,2023,Mechanical Engineering,OBC,33224,43946
86,Rajalakshmi Engineering College,2023,Mechanical Engineering,SC,61511,97906
86,Rajalakshmi Engineering College,2023,Mechanical Engineering,ST,167641,167641
86,Rajalakshmi Engineering College,2023,Biomedical Engineering,GENERAL,7197,25514
86,Rajalakshmi Engineering College,2023,Biomedical Engineering,OBC,28830,45496
86,Rajalakshmi Engineering College,2023,Biomedical Engineering,SC,35647,97649
86,Rajalakshmi Engineering College,2023,Biomedical Engineering,ST,42723,61278
86,Rajalakshmi Engineering College,2023,Chemical Engineering,GENERAL,15801,20796
86,Rajalakshmi Engineering College,2023,Chemical Engineering,OBC,37453,63049
86,Rajalakshmi Engineering College,2023,Chemical Engineering,SC,42602,80734
86,Rajalakshmi Engineering College,2023,Chemical Engineering,ST,45935,84236
86,Rajalakshmi Engineering College,2023,Civil Engineering,GENERAL,25958,25958
86,Rajalakshmi Engineering College,2023,Civil Engineering,OBC,46055,57932
86,Rajalakshmi Engineering College,2023,Civil Engineering,SC,55921,94291
86,Rajalakshmi Engineering College,2023,Civil Engineering,ST,59842,82493
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Data Science,GENERAL,1582,11528
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Data Science,OBC,11702,15850
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Data Science,SC,31169,46918
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Data Science,ST,71866,71866
86,Rajalakshmi Engineering College,2023,Aeronautical Engineering,GENERAL,11223,23334
86,Rajalakshmi Engineering College,2023,Aeronautical Engineering,OBC,24947,24947
86,Rajalakshmi Engineering College,2023,Aeronautical Engineering,SC,30290,57277
86,Rajalakshmi Engineering College,2023,Aeronautical Engineering,ST,35412,61427
86,Rajalakshmi Engineering College,2023,Automobile Engineering,GENERAL,24983,2983
86,Rajalakshmi Engineering College,2023,Automobile Engineering,OBC,49073,54913
86,Rajalakshmi Engineering College,2023,Automobile Engineering,SC,54118,97748
86,Rajalakshmi Engineering College,2023,Automobile Engineering,ST,71704,71704
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Machine Learning,GENERAL,5450,15113
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Machine Learning,OBC,15373,8431
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Machine Learning,SC,28872,61065
86,Rajalakshmi Engineering College,2023,Artificial Intelligence and Machine Learning,ST,41289,41289
86,Rajalakshmi Engineering College,2023,"Mechatronics",GENERAL,15413,25477
86,Rajalakshmi Engineering College,2023,"Mechatronics",OBC,26134,26134
86,Rajalakshmi Engineering College,2023,"Mechatronics",SC,54018,72738
86,Rajalakshmi Engineering College,2023,"Mechatronics",ST,68018,68018
86,Rajalakshmi Engineering College,2023,Robotics and Automation,GENERAL,4025,25358
86,Rajalakshmi Engineering College,2023,Robotics and Automation,OBC,25535,26377
86,Rajalakshmi Engineering College,2023,Robotics and Automation,SC,58541,100957
86,Rajalakshmi Engineering College,2023,Robotics and Automation,ST,65741,65741
151,Chennai Institute Of Technology,2023,Computer science,GENERAL,105,3537
151,Chennai Institute Of Technology,2023,Computer science,OBC,3556,7150
151,Chennai Institute Of Technology,2023,Computer science,SC,,
151,Chennai Institute Of Technology,2023,Computer science,ST,76115,108876
151,Chennai Institute Of Technology,2023,Information technology,GENERAL,1238,6622
151,Chennai Institute Of Technology,2023,Information technology,OBC,7156,8339
151,Chennai Institute Of Technology,2023,Information technology,SC,,
151,Chennai Institute Of Technology,2023,Information technology,ST,135208,135208
151,Chennai Institute Of Technology,2023,Electronics and Communication,GENERAL,333,4588
151,Chennai Institute Of Technology,2023,Electronics and Communication,OBC,4694,7805
151,Chennai Institute Of Technology,2023,Electronics and Communication,SC,13000,26247
151,Chennai Institute Of Technology,2023,Electronics and Communication,ST,,
151,Chennai Institute Of Technology,2023,Electrical and Electronics,GENERAL,5383,9817
151,Chennai Institute Of Technology,2023,Electrical and Electronics,OBC,9977,11859
151,Chennai Institute Of Technology,2023,Electrical and Electronics,SC,,
151,Chennai Institute Of Technology,2023,Electrical and Electronics,ST,143355,143355
151,Chennai Institute Of Technology,2023,Mechanical Engineering,GENERAL,6110,17292
151,Chennai Institute Of Technology,2023,Mechanical Engineering,OBC,17615,21355
151,Chennai Institute Of Technology,2023,Mechanical Engineering,SC,,
151,Chennai Institute Of Technology,2023,Mechanical Engineering,ST,144478,144478
151,Chennai Institute Of Technology,2023,Civil Engineering,GENERAL,10070,18646
151,Chennai Institute Of Technology,2023,Civil Engineering,OBC,21774,23053
151,Chennai Institute Of Technology,2023,Civil Engineering,SC,,
151,Chennai Institute Of Technology,2023,Civil Engineering,ST,,
151,Chennai Institute Of Technology,2023,Biomedical Engineering,GENERAL,8321,11570
151,Chennai Institute Of Technology,2023,Biomedical Engineering,OBC,14325,16902
151,Chennai Institute Of Technology,2023,Biomedical Engineering,SC,12312,23863
151,Chennai Institute Of Technology,2023,Biomedical Engineering,ST,,
151,Chennai Institute Of Technology,2023,"Mechatronics",GENERAL,6049,12042
151,Chennai Institute Of Technology,2023,"Mechatronics",OBC,12221,14269
151,Chennai Institute Of Technology,2023,Mechatronics,SC,14135,14139
151,Chennai Institute Of Technology,2023,"Mechatronics",ST,,
57,P.S.G. College of Technology in Coimbatore ,2023,Civil Engineering,General,3577,6229
57,P.S.G. College of Technology in Coimbatore ,2023,Electrical and Electronics,General,71,1793
57,P.S.G. College of Technology in Coimbatore ,2023,Electronics and Communication,General,21,480
57,P.S.G. College of Technology in Coimbatore ,2023,Mechanical Engineering,General,1596,4914
57,P.S.G. College of Technology in Coimbatore ,2023,Metallurgical Engineering,General,5996,13819
57,P.S.G. College of Technology in Coimbatore ,2023,Production Engineering,General,6456,11403
57,P.S.G. College of Technology in Coimbatore ,2023,Textile Technology,General,5221,16807
